100-plants-margin/mds;[6, 0, 3, 8, 11, 1, 2, 12, 7, 10, 4, 14, 13, 9, 5]
100-plants-margin/spec2;[2, 0, 1, 6, 3, 5, 7, 12, 11, 13, 9, 8, 10, 14, 4]
100-plants-margin/spec3;[2, 0, 3, 12, 4, 5, 6, 14, 8, 9, 11, 10, 7, 1, 13]
100-plants-margin/tsne1;[2, 10, 8, 6, 13, 14, 0, 9, 3, 4, 7, 11, 12, 5, 1]
100-plants-margin/tsne2;[6, 1, 11, 10, 3, 4, 2, 5, 9, 12, 14, 8, 13, 7, 0]
100-plants-margin/tsne3;[5, 4, 9, 7, 2, 3, 1, 12, 0, 6, 8, 10, 14, 11, 13]
100-plants-margin/umap1;[6, 11, 9, 4, 12, 14, 10, 1, 2, 5, 0, 7, 8, 3, 13]
100-plants-margin/umap3;[0, 7, 4, 8, 5, 1, 6, 2, 3, 9, 10, 12, 11, 13, 14]
ada/pca;[3, 5, 11, 6, 4, 8, 12, 10, 14, 9, 7, 0, 1, 13, 2]
ada/spec2;[8, 9, 3, 13, 1, 12, 11, 14, 10, 4, 6, 5, 7, 2, 0]
ada/tsne1;[7, 12, 4, 0, 13, 5, 2, 1, 3, 8, 6, 9, 14, 10, 11]
ada/tsne2;[11, 13, 8, 7, 6, 2, 0, 5, 4, 1, 9, 3, 10, 14, 12]
ada/umap1;[5, 10, 6, 0, 14, 7, 3, 11, 2, 4, 9, 1, 13, 12, 8]
ailerons/mlle2;[14, 8, 3, 2, 1, 10, 12, 9, 0, 4, 11, 5, 6, 13, 7]
ailerons/pca;[3, 9, 8, 10, 12, 0, 11, 6, 4, 14, 13, 5, 7, 1, 2]
ailerons/spec2;[7, 6, 14, 0, 5, 12, 9, 8, 11, 10, 3, 13, 2, 4, 1]
ailerons/tsne1;[3, 6, 7, 2, 9, 8, 12, 14, 5, 13, 4, 10, 1, 11, 0]
ailerons/tsne3;[3, 5, 8, 4, 14, 13, 12, 11, 10, 9, 7, 6, 0, 2, 1]
ailerons/umap1;[2, 6, 11, 0, 4, 5, 7, 12, 9, 10, 3, 14, 1, 8, 13]
ailerons/umap3;[4, 11, 9, 7, 0, 1, 8, 14, 6, 3, 2, 10, 12, 13, 5]
annthyroid/mds;[11, 1, 13, 4, 10, 0, 7, 6, 5, 8, 12, 9, 2, 14, 3]
annthyroid/pca;[10, 13, 3, 6, 11, 5, 9, 1, 7, 4, 0, 12, 14, 8, 2]
bank-marketing/mlle1;[3, 0, 8, 4, 1, 6, 13, 7, 2, 11, 5, 10, 14, 12, 9]
bank-marketing/spec2;[14, 13, 4, 0, 5, 6, 9, 7, 1, 3, 10, 8, 2, 11, 12]
bank-marketing/spec3;[3, 8, 13, 12, 0, 2, 1, 4, 5, 11, 9, 14, 6, 10, 7]
bank-marketing/tsne1;[5, 9, 6, 4, 0, 13, 2, 14, 12, 8, 7, 3, 1, 11, 10]
bank-marketing/tsne2;[5, 11, 3, 7, 12, 1, 9, 0, 2, 14, 8, 13, 10, 4, 6]
bank-marketing/tsne3;[12, 14, 13, 6, 3, 8, 11, 10, 1, 4, 7, 2, 0, 5, 9]
bank-marketing/umap1;[14, 1, 11, 6, 7, 3, 9, 2, 12, 5, 10, 13, 4, 8, 0]
bank-marketing/umap3;[6, 4, 3, 10, 0, 1, 5, 9, 7, 2, 8, 12, 13, 11, 14]
bank8FM/mlle2;[7, 4, 2, 6, 5, 11, 14, 0, 1, 3, 8, 9, 12, 10, 13]
bank8FM/pca;[6, 3, 11, 1, 12, 10, 8, 4, 13, 7, 5, 0, 2, 14, 9]
bank8FM/spec3;[5, 8, 1, 3, 10, 11, 7, 2, 9, 6, 4, 0, 12, 14, 13]
bank8FM/tsne1;[1, 11, 0, 4, 6, 5, 9, 3, 7, 2, 8, 10, 14, 12, 13]
bank8FM/tsne3;[6, 8, 4, 1, 2, 0, 13, 14, 12, 5, 3, 11, 7, 10, 9]
banknote-authentication/mds;[0, 2, 4, 3, 5, 9, 6, 8, 11, 1, 10, 12, 7, 13, 14]
banknote-authentication/mlle1;[6, 12, 2, 13, 4, 14, 0, 1, 10, 7, 8, 11, 5, 3, 9]
banknote-authentication/mlle2;[11, 8, 9, 1, 6, 2, 12, 3, 4, 0, 5, 13, 10, 7, 14]
banknote-authentication/spec2;[4, 5, 14, 11, 2, 0, 6, 12, 1, 7, 3, 10, 13, 9, 8]
banknote-authentication/tsne1;[5, 10, 14, 2, 8, 12, 7, 6, 9, 11, 13, 1, 4, 3, 0]
banknote-authentication/tsne2;[9, 10, 7, 1, 6, 12, 4, 11, 8, 13, 14, 3, 0, 5, 2]
banknote-authentication/tsne3;[5, 6, 1, 0, 7, 4, 8, 3, 9, 10, 2, 11, 13, 12, 14]
banknote-authentication/umap1;[6, 9, 2, 4, 3, 0, 1, 5, 7, 10, 11, 12, 14, 13, 8]
banknote-authentication/umap2;[5, 6, 0, 7, 9, 10, 3, 11, 4, 2, 13, 12, 1, 8, 14]
bike/tsne3;[12, 1, 5, 2, 7, 9, 11, 8, 3, 4, 13, 14, 0, 6, 10]
bike/umap3;[13, 5, 9, 7, 10, 6, 1, 11, 2, 0, 14, 12, 4, 8, 3]
blocks/mds;[2, 0, 5, 14, 3, 6, 1, 7, 4, 8, 10, 11, 12, 9, 13]
blocks/pca;[7, 0, 9, 2, 4, 1, 8, 13, 10, 12, 14, 6, 3, 11, 5]
blocks/spec2;[0, 1, 6, 8, 3, 2, 4, 13, 9, 10, 11, 12, 7, 14, 5]
blocks/spec3;[5, 8, 1, 3, 2, 7, 6, 4, 9, 10, 0, 11, 14, 12, 13]
blocks/tsne1;[10, 2, 0, 13, 6, 14, 12, 11, 4, 5, 9, 7, 1, 8, 3]
blocks/tsne3;[3, 1, 2, 5, 0, 6, 8, 11, 9, 10, 13, 4, 12, 14, 7]
blocks/umap3;[2, 13, 9, 3, 4, 8, 6, 5, 10, 1, 0, 11, 7, 12, 14]
blood-transfusion-service/mds;[4, 10, 12, 1, 6, 3, 2, 7, 13, 8, 9, 5, 14, 11, 0]
blood-transfusion-service/pca;[4, 11, 3, 5, 1, 2, 9, 0, 7, 6, 10, 8, 13, 14, 12]
blood-transfusion-service/spec1;[6, 5, 10, 13, 4, 2, 3, 14, 11, 9, 12, 8, 7, 1, 0]
blood-transfusion-service/spec3;[1, 11, 0, 4, 9, 7, 5, 8, 3, 2, 6, 13, 10, 14, 12]
blood-transfusion-service/umap1;[6, 10, 4, 2, 7, 8, 1, 0, 3, 12, 13, 14, 9, 5, 11]
blood-transfusion-service/umap2;[4, 2, 5, 0, 7, 11, 9, 1, 3, 8, 13, 10, 12, 6, 14]
blood-transfusion-service/umap3;[14, 1, 7, 12, 8, 9, 3, 4, 6, 0, 13, 10, 11, 5, 2]
brendan-faces/mlle1;[9, 12, 5, 2, 3, 14, 7, 11, 6, 4, 8, 10, 13, 0, 1]
brendan-faces/pca;[9, 2, 4, 1, 6, 0, 5, 10, 13, 12, 14, 3, 7, 8, 11]
brendan-faces/spec2;[9, 1, 10, 3, 13, 6, 5, 8, 11, 14, 12, 0, 2, 4, 7]
brendan-faces/spec3;[8, 1, 4, 2, 14, 10, 0, 6, 3, 5, 7, 9, 11, 12, 13]
brendan-faces/tsne1;[0, 3, 11, 13, 8, 2, 7, 9, 4, 5, 1, 10, 12, 14, 6]
brendan-faces/tsne2;[5, 6, 4, 8, 13, 2, 0, 11, 7, 1, 3, 10, 12, 14, 9]
cardiotocography/umap1;[8, 4, 0, 1, 3, 5, 12, 2, 6, 7, 13, 9, 10, 11, 14]
character/mds;[9, 7, 5, 4, 11, 1, 2, 3, 6, 10, 12, 14, 13, 0, 8]
character/mlle2;[8, 4, 6, 0, 1, 5, 7, 2, 3, 9, 10, 11, 13, 14, 12]
character/pca;[3, 8, 2, 12, 6, 4, 1, 5, 11, 0, 9, 10, 13, 14, 7]
character/spec3;[13, 6, 0, 2, 10, 4, 5, 7, 11, 9, 8, 12, 1, 3, 14]
character/tsne1;[10, 5, 0, 2, 9, 11, 14, 13, 6, 4, 3, 8, 1, 12, 7]
character/tsne2;[6, 14, 9, 3, 7, 1, 10, 2, 5, 11, 8, 13, 12, 0, 4]
character/umap1;[10, 0, 6, 2, 9, 12, 4, 5, 3, 11, 13, 14, 7, 1, 8]
climate-model-simulation-crashes/mds;[6, 4, 8, 11, 9, 1, 2, 3, 0, 5, 7, 10, 13, 12, 14]
climate-model-simulation-crashes/mlle2;[10, 8, 9, 4, 5, 13, 14, 0, 1, 2, 6, 7, 12, 11, 3]
climate-model-simulation-crashes/spec1;[5, 2, 0, 3, 6, 12, 10, 8, 1, 13, 7, 11, 14, 9, 4]
climate-model-simulation-crashes/spec2;[1, 2, 3, 4, 7, 9, 6, 0, 5, 14, 8, 12, 10, 13, 11]
climate-model-simulation-crashes/tsne1;[5, 7, 14, 8, 6, 0, 1, 3, 11, 12, 2, 4, 9, 13, 10]
climate-model-simulation-crashes/umap2;[0, 2, 3, 4, 1, 8, 9, 11, 7, 12, 6, 5, 10, 13, 14]
climate-model-simulation-crashes/umap3;[11, 12, 7, 6, 3, 0, 1, 2, 4, 13, 5, 9, 8, 14, 10]
cnae-9/mds;[4, 8, 11, 9, 12, 10, 6, 7, 14, 0, 3, 1, 5, 2, 13]
cnae-9/spec1;[7, 14, 4, 3, 8, 10, 0, 1, 11, 13, 6, 2, 5, 9, 12]
cnae-9/spec3;[10, 14, 6, 4, 9, 7, 13, 5, 12, 11, 8, 3, 1, 2, 0]
cnae-9/tsne1;[0, 7, 12, 1, 4, 2, 8, 13, 10, 6, 14, 11, 3, 9, 5]
cnae-9/tsne2;[6, 8, 0, 1, 3, 4, 5, 9, 2, 11, 12, 10, 14, 13, 7]
cnae-9/tsne3;[7, 14, 4, 1, 0, 6, 5, 12, 8, 2, 13, 3, 10, 11, 9]
cnae-9/umap1;[2, 9, 4, 7, 13, 11, 6, 8, 12, 14, 1, 10, 5, 0, 3]
coil2000/umap3;[10, 7, 4, 11, 13, 0, 1, 3, 5, 8, 6, 2, 9, 12, 14]
concrete-data/mlle2;[0, 11, 9, 2, 3, 1, 6, 5, 4, 10, 7, 8, 13, 12, 14]
concrete-data/pca;[13, 5, 4, 1, 7, 0, 3, 10, 6, 9, 2, 8, 12, 11, 14]
concrete-data/spec1;[2, 3, 1, 0, 5, 4, 7, 6, 9, 8, 10, 11, 13, 12, 14]
concrete-data/spec2;[14, 3, 6, 8, 2, 0, 11, 7, 1, 5, 10, 4, 12, 9, 13]
concrete-data/spec3;[7, 14, 3, 6, 1, 0, 2, 11, 9, 13, 12, 4, 8, 10, 5]
concrete-data/tsne1;[10, 9, 3, 1, 8, 14, 4, 11, 13, 2, 12, 7, 0, 6, 5]
concrete-data/tsne3;[10, 2, 7, 6, 0, 1, 4, 8, 5, 3, 12, 14, 13, 9, 11]
concrete-data/umap3;[11, 6, 1, 2, 3, 5, 4, 7, 9, 10, 14, 12, 13, 8, 0]
cpu-act/mds;[12, 3, 2, 0, 5, 11, 6, 7, 1, 8, 4, 9, 13, 10, 14]
cpu-act/pca;[1, 3, 10, 4, 2, 7, 11, 12, 5, 13, 14, 6, 8, 9, 0]
cpu-act/tsne1;[7, 10, 4, 3, 2, 0, 5, 6, 8, 13, 9, 14, 12, 11, 1]
cpu-act/tsne3;[11, 3, 1, 0, 7, 2, 9, 4, 5, 8, 6, 13, 10, 12, 14]
debutanizer/mds;[6, 5, 0, 1, 7, 2, 8, 9, 12, 3, 10, 13, 11, 14, 4]
debutanizer/mlle1;[8, 1, 2, 0, 3, 4, 9, 7, 6, 5, 12, 10, 13, 14, 11]
debutanizer/mlle2;[3, 6, 1, 11, 13, 10, 8, 12, 9, 5, 7, 14, 2, 0, 4]
debutanizer/spec2;[4, 5, 7, 6, 13, 12, 9, 0, 8, 10, 2, 11, 14, 1, 3]
debutanizer/tsne1;[14, 11, 9, 2, 13, 4, 12, 3, 0, 1, 7, 8, 10, 6, 5]
debutanizer/tsne2;[1, 0, 2, 3, 10, 7, 4, 12, 8, 5, 14, 13, 6, 9, 11]
debutanizer/tsne3;[0, 6, 4, 5, 3, 2, 1, 8, 10, 12, 7, 13, 9, 14, 11]
debutanizer/umap1;[8, 0, 2, 11, 4, 7, 9, 14, 13, 12, 10, 3, 5, 6, 1]
debutanizer/umap2;[0, 9, 7, 11, 8, 3, 2, 13, 5, 4, 10, 6, 12, 14, 1]
delta-elevators/tsne3;[7, 0, 6, 8, 9, 2, 1, 3, 4, 5, 10, 13, 12, 14, 11]
delta-elevators/umap3;[7, 4, 2, 14, 3, 12, 5, 6, 0, 9, 8, 10, 11, 13, 1]
diabetes/mds;[7, 8, 4, 2, 0, 3, 5, 12, 1, 14, 10, 9, 6, 11, 13]
diabetes/pca;[0, 6, 8, 3, 2, 12, 9, 13, 1, 4, 5, 10, 7, 11, 14]
diabetes/spec2;[10, 2, 13, 9, 0, 1, 7, 4, 14, 8, 3, 12, 5, 6, 11]
diabetes/spec3;[4, 8, 5, 0, 6, 12, 3, 2, 9, 7, 1, 10, 11, 13, 14]
diabetes/tsne1;[4, 0, 5, 3, 2, 8, 6, 14, 13, 12, 1, 7, 10, 9, 11]
diabetes/tsne3;[1, 2, 6, 8, 10, 4, 5, 9, 7, 11, 0, 12, 3, 14, 13]
